Country_Region,code,pop_2018
Nauru,NRU,12704
Nepal,NPL,28087871
Netherlands,NLD,17231624
New Caledonia,NCL,284060
New Zealand,NZL,4841000
Nicaragua,NIC,6465513
Niger,NER,22442948
Nigeria,NGA,195874740
North Macedonia,MKD,2082958
Northern Mariana Islands,MNP,56882
Norway,NOR,5311916
Oman,OMN,4829483
Pakistan,PAK,212215030
Palau,PLW,17907
Panama,PAN,4176873
Papua New Guinea,PNG,8606316
Paraguay,PRY,6956071
Peru,PER,31989256
Philippines,PHL,106651922
Poland,POL,37974750
Portugal,PRT,10283822
Puerto Rico,PRI,3195153
Qatar,QAT,2781677
Romania,ROU,19466145
Russia,RUS,144478050
Rwanda,RWA,12301939
Samoa,WSM,196130
San Marino,SMR,33785
Sao Tome and Principe,STP,211028
Saudi Arabia,SAU,33699947
Senegal,SEN,15854360
Serbia,SRB,6982604
Seychelles,SYC,96762
Sierra Leone,SLE,7650154
Singapore,SGP,5638676
Sint Maarten (Dutch part),SXM,40654
Slovak Republic,SVK,5446771
Slovenia,SVN,2073894
Solomon Islands,SLB,652858
Somalia,SOM,15008154
South Africa,ZAF,57779622
South Sudan,SSD,10975920
Spain,ESP,46796540
Sri Lanka,LKA,21670000
St. Kitts and Nevis,KNA,52441
St. Lucia,LCA,181889
St. Martin (French part),MAF,37264
St. Vincent and the Grenadines,VCT,110210
Sudan,SDN,41801533
Suriname,SUR,575991
Sweden,SWE,10175214
Switzerland,CHE,8513227
Syrian Arab Republic,SYR,16906283
Tajikistan,TJK,9100837
Tanzania,TZA,56318348
Thailand,THA,69428524
Timor-Leste,TLS,1267972
Togo,TGO,7889094
Tonga,TON,103197
Trinidad and Tobago,TTO,1389858
Tunisia,TUN,11565204
Turkey,TUR,82319724
Turkmenistan,TKM,5850908
Turks and Caicos Islands,TCA,37665
Tuvalu,TUV,11508
Uganda,UGA,42723139
Ukraine,UKR,44622516
United Arab Emirates,ARE,9630959
United Kingdom,GBR,66460344
US,USA,326687501
Uruguay,URY,3449299
Uzbekistan,UZB,32955400
Vanuatu,VUT,292680
"Venezuela, RB",VEN,28870195
Vietnam,VNM,95540395
Virgin Islands (U.S.),VIR,106977
West Bank and Gaza,PSE,4569087
"Yemen, Rep.",YEM,28498687
Zambia,ZMB,17351822
Zimbabwe,ZWE,14439018
Arab World,ARB,419790588
Caribbean small states,CSS,7358965
Central Europe and the Baltics,CEB,102511922
Early-demographic dividend,EAR,3249140605
East Asia & Pacific,EAS,2328220870
East Asia & Pacific (excluding high income),EAP,2081651801
East Asia & Pacific (IDA & IBRD countries),TEA,2056064424
Euro area,EMU,341783171
Europe & Central Asia,ECS,918793590
Europe & Central Asia (excluding high income),ECA,417797257
Europe & Central Asia (IDA & IBRD countries),TEC,459865205
European Union,EUU,446786293
Fragile and conflict affected situations,FCS,743958386
Heavily indebted poor countries (HIPC),HPC,780234406
High income,HIC,1210312147
IBRD only,IBD,4772284113
IDA & IBRD total,IBT,6412522234
IDA blend,IDB,555830605
IDA only,IDX,1084407516
IDA total,IDA,1640238121
Late-demographic dividend,LTE,2288665963
Latin America & Caribbean,LCN,641357515
Latin America & Caribbean (excluding high income),LAC,609013934
Latin America & the Caribbean (IDA & IBRD countries),TLA,625569713
Least developed countries: UN classification,LDC,1009662578
Low & middle income,LMY,6383958209
Low income,LIC,705417321
Lower middle income,LMC,3022905169
Middle East & North Africa,MEA,448912859
Middle East & North Africa (excluding high income),MNA,382896715
Middle East & North Africa (IDA & IBRD countries),TMN,378327628
Middle income,MIC,5678540888
North America,NAC,364290258
Not classified,INX,..
OECD members,OED,1303529456
Other small states,OSS,30758989
Pacific island small states,PSS,2457367
Post-demographic dividend,PST,1109997273
Pre-demographic dividend,PRE,919485393
Small states,SST,40575321
South Asia,SAS,1814388744
South Asia (IDA & IBRD),TSA,1814388744
Sub-Saharan Africa,SSF,1078306520
Sub-Saharan Africa (excluding high income),SSA,1078209758
Sub-Saharan Africa (IDA & IBRD countries),TSS,1078306520
Upper middle income,UMC,2655635719
World,WLD,7594270356
,,
,,
,,
Data from database: World Development Indicators,,
Last Updated: 04/09/2020,,
